date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:58	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%221781fe7-65c5-5ea8251c3fc80-gzip%22	https://www.wisecrypto.co/assets/vendor/aos/aos.css	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/vendor/aos/aos.css	(from https://www.wisecrypto.co/)
23:00:58	16468/16468	---M-Z	200	added ('OK')	text/css	etag:%221781fac-4054-5ea8251e28100-gzip%22	https://www.wisecrypto.co/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/vendor/swiper/swiper-bundle.min.css	(from https://www.wisecrypto.co/)
23:00:59	27587/27587	---M-Z	200	added ('OK')	text/css	etag:%221781c65-6bc3-5eae512d65500-gzip%22	https://www.wisecrypto.co/assets/css/style.css	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/css/style.css	(from https://www.wisecrypto.co/)
23:01:01	87642/87642	---M-Z	200	added ('OK')	text/html	etag:%2216c0039-1565a-604490d81d480-gzip%22	https://www.wisecrypto.co/index.html	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/index-2.html	(from https://www.wisecrypto.co/)
23:01:04	66465/66465	---M--	200	added ('OK')	image/png	etag:%221781e70-103a1-5fa396e1c94c0%22	https://www.wisecrypto.co/assets/images/wise-light.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/wise-light.png	(from https://www.wisecrypto.co/)
23:01:05	68036/68036	---M--	200	added ('OK')	image/png	etag:%221781c6d-109c4-5fa396d83fe40%22	https://www.wisecrypto.co/assets/images/wise-dark.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/wise-dark.png	(from https://www.wisecrypto.co/)
23:01:07	548/548	---M--	200	added ('OK')	image/svg+xml	etag:%221781e80-224-5e98e92f96900%22	https://www.wisecrypto.co/assets/images/gradient-circle.svg	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/gradient-circle.svg	(from https://www.wisecrypto.co/)
23:01:08	4435/4435	---M--	200	added ('OK')	image/png	etag:%221781ef9-1153-5e946f0884c00%22	https://www.wisecrypto.co/assets/images/objects/ethereum-01.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/objects/ethereum-01.png	(from https://www.wisecrypto.co/)
23:01:09	983/983	---M--	200	added ('OK')	image/png	etag:%221781eeb-3d7-5e946f0884c00%22	https://www.wisecrypto.co/assets/images/objects/circle-01.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/objects/circle-01.png	(from https://www.wisecrypto.co/)
23:01:10	3428/3428	---M--	200	added ('OK')	image/png	etag:%221781ef1-d64-5e946f0884c00%22	https://www.wisecrypto.co/assets/images/objects/circle-03.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/objects/circle-03.png	(from https://www.wisecrypto.co/)
23:01:11	6538/6538	---M--	200	added ('OK')	image/png	etag:%221781ef3-198a-5e946f0884c00%22	https://www.wisecrypto.co/assets/images/objects/bitcoin-01.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/objects/bitcoin-01.png	(from https://www.wisecrypto.co/)
23:01:12	4691/4691	---M--	200	added ('OK')	image/png	etag:%221781edf-1253-5e946f0884c00%22	https://www.wisecrypto.co/assets/images/objects/x.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/objects/x.png	(from https://www.wisecrypto.co/)
23:01:14	472081/472081	---M--	200	added ('OK')	image/png	etag:%221781e88-73411-5f980b5eea7c0%22	https://www.wisecrypto.co/assets/images/bitcoin-hero.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/bitcoin-hero.png	(from https://www.wisecrypto.co/)
23:01:16	420/420	---M--	200	added ('OK')	image/svg+xml	etag:%221781c84-1a4-5e98dbbcd2e80%22	https://www.wisecrypto.co/assets/images/divider.svg	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/divider.svg	(from https://www.wisecrypto.co/)
